"codproveedor";"nombre";"razonsocial";"cifnif";"telefono1";"telefono2";"fax";"email";"web";"codsubcuenta";"codserie";"codpago";"personafisica";"tipoidfiscal";"observaciones";"direccion";"apartado";"codpostal";"ciudad";"provincia";"codpais";"bank";"iban";"swift"
"011";"Diego Herrera";"Herrera Logística";"K34567891";"923457890";"934568901";"945679012";"ventas@herreralogistica.com";"www.herreralogistica.com";"5010";"B";"45";"0";"CIF";"";"Avenida del Puerto 15";"";"46024";"Valencia";"Valencia";"ES";"CaixaBank";"ES9121000418450200051342";"CAIXESMM"
"012";"Sofía Castro";"Castro Retail";"L23456789";"924568901";"935679012";"946780123";"contacto@castroretail.com";"www.castroretail.com";"5011";"C";"60";"0";"CIF";"";"Calle Comercio 25";"";"50008";"Zaragoza";"Zaragoza";"ES";"Sabadell";"ES9121000418450200051343";"SABDESMM"
"013";"Raúl Ortega";"Ortega & Partners";"M98765432";"925679012";"936780123";"947891234";"info@ortegapartners.com";"www.ortegapartners.com";"5012";"A";"30";"0";"CIF";"";"Paseo Independencia 40";"";"50004";"Zaragoza";"Zaragoza";"ES";"Banco Santander";"ES9121000418450200051344";"BSCHESMM"
"014";"Beatriz Navarro";"Navarro Creative";"N87654321";"926780123";"937891234";"948902345";"ventas@navarrocreative.com";"www.navarrocreative.com";"5013";"B";"45";"1";"DNI";"";"Calle San Juan 17";"";"03002";"Alicante";"Alicante";"ES";"BBVA";"ES9121000418450200051345";"BBVAESMM"
"015";"Fernando Vega";"Vega Soluciones";"O76543210";"927891234";"938902345";"949013456";"contacto@vegasoluciones.com";"www.vegasoluciones.com";"5014";"C";"60";"0";"CIF";"";"Calle del Mar 33";"";"46002";"Valencia";"Valencia";"ES";"CaixaBank";"ES9121000418450200051346";"CAIXESMM"
"016";"Isabel Méndez";"Méndez Ingeniería";"P65432109";"928902345";"939013456";"950124567";"info@mendezingenieria.com";"www.mendezingenieria.com";"5015";"A";"30";"0";"CIF";"";"Avenida Innovación 78";"";"41092";"Sevilla";"Sevilla";"ES";"Sabadell";"ES9121000418450200051347";"SABDESMM"
"017";"David Rojas";"Rojas Telecom";"Q54321098";"929013456";"940124567";"951235678";"ventas@rojastelecom.com";"www.rojastelecom.com";"5016";"B";"45";"0";"CIF";"";"Calle del Cable 5";"";"28050";"Madrid";"Madrid";"ES";"Banco Santander";"ES9121000418450200051348";"BSCHESMM"
"018";"Rocío Flores";"Flores Fashion";"R43210987";"930124567";"941235678";"952346789";"contacto@floresfashion.com";"www.floresfashion.com";"5017";"C";"60";"1";"DNI";"";"Calle Moda 12";"";"28028";"Madrid";"Madrid";"ES";"BBVA";"ES9121000418450200051349";"BBVAESMM"
"019";"Álvaro Suárez";"Suárez Digital";"S32109876";"931235678";"942346789";"953457890";"info@suarezdigital.com";"www.suarezdigital.com";"5018";"A";"30";"0";"CIF";"";"Avenida Tecnología 99";"";"29007";"Málaga";"Málaga";"ES";"CaixaBank";"ES9121000418450200051350";"CAIXESMM"
"020";"Elena Vargas";"Vargas Travel";"T21098765";"932346789";"943457890";"954568901";"ventas@vargastravel.com";"www.vargastravel.com";"5019";"B";"45";"1";"DNI";"";"Paseo de la Estación 7";"";"18002";"Granada";"Granada";"ES";"Sabadell";"ES9121000418450200051351";"SABDESMM"
